id,company_name,inn,kpp,ogrn,okpo,legal_form,legal_address,status,inclusion_date
1,"ООО ""Точка импорта Синтез""",7770372985,773150838,1227788614565,08570016,ООО,"г. Москва, ул. Тверская, д. 42, офис 604",На проверке,2026-02-23
2,"ООО ""Федеральная Группа автоматизации""",1669651500,162081594,1121623459822,53681148,ООО,"г. Казань, ул. Баумана, д. 63, офис 81",Приостановлен,2026-01-07
3,"ООО ""Инженерная Автоматизация дистрибуции Восток""",6637640368,663117117,1246675073237,96888502,ООО,"г. Екатеринбург, ул. Белинского, д. 67, офис 759",Активен,2026-01-10
4,"АО ""Промышленные Системы экспорта""",1628243729,161025338,1061633940519,44096919,АО,"г. Казань, ул. Баумана, д. 94, офис 541",На проверке,2026-05-25
5,"ПАО ""Формат импорта Меридиан""",7737051156,774533072,1067778742756,86156140,ПАО,"г. Москва, ул. Арбат, д. 19, офис 743",В процессе ликвидации,2026-02-15
6,"ООО ""Деловая Система Эксперт""",6365590186,631089065,1066311339577,48656611,ООО,"г. Самара, ул. Ново-Садовая, д. 187, офис 640",Активен,2026-02-25
7,"ООО ""Вектор финансов Проект""",5449359294,544258752,1065402595621,54465713,ООО,"г. Новосибирск, ул. Советская, д. 123, офис 560",Заблокирован,2026-01-08
8,"ООО ""Региональный Импульс медицины""",5445065048,540106955,1045422172550,33981467,ООО,"г. Новосибирск, ул. Советская, д. 52, офис 482",Активен,2026-02-15
9,"ООО ""Автоматизация логистики Перспектива""",7711963806,775046419,1107792982993,31679071,ООО,"г. Москва, ул. Покровка, д. 82, офис 553",Активен,2026-03-07
10,"ООО ""Современный Центр инжиниринга""",7799931520,770114257,1127711748092,70946644,ООО,"г. Москва, ул. Мясницкая, д. 134, офис 821",Заблокирован,2026-04-11
11,"ООО ""Решение безопасности Глобал""",7780559258,773317879,1027712027965,09262438,ООО,"г. Москва, ул. Арбат, д. 125, офис 679",Активен,2026-02-21
12,"ООО ""Промышленный Кластер автоматизации Основа""",7740653353,770934604,1247752024255,62500931,ООО,"г. Москва, ул. Арбат, д. 165, офис 118",Активен,2026-04-13
13,"ООО ""Сфера энергетики Основа""",5402567833,545088284,1125408109670,78857590,ООО,"г. Новосибирск, ул. Красный проспект, д. 38, офис 476",На проверке,2026-01-20
14,"ООО ""Деловой Модуль безопасности Меридиан""",7734087437,775915506,1067777890567,61131515,ООО,"г. Москва, ул. Варшавское шоссе, д. 34, офис 556",Активен,2026-02-05
15,"ООО ""Точка строительства Фокус""",5233217095,526765956,1225234979172,72448942,ООО,"г. Нижний Новгород, ул. Горького, д. 9, офис 569",Заблокирован,2026-04-18
16,"ООО ""Инновационное Снабжение маркетинга""",7739876529,774213640,1067792222322,08631112,ООО,"г. Москва, ул. Ленинский проспект, д. 65, офис 703",Активен,2026-03-03
17,"ООО ""Решение разработки Горизонт""",7845526035,783919321,1167800068549,14051172,ООО,"г. Санкт-Петербург, ул. Большая Морская, д. 87, офис 445",Активен,2026-02-28
18,"ООО ""Инновационный Интегратор поставок""",7783577141,772009950,1167750944847,62769647,ООО,"г. Москва, ул. Тверская, д. 109, офис 17",Активен,2026-03-31
19,"ООО ""Агентство энергетики Гарант""",7714358608,774869716,1247776822445,58678858,ООО,"г. Москва, ул. Большая Дмитровка, д. 162, офис 118",Активен,2026-02-08
20,"ООО ""Экспертный Вектор строительства""",7722176453,779949365,1247739706119,53097556,ООО,"г. Москва, ул. Тверская, д. 190, офис 843",Активен,2026-02-07
21,"АО ""Логистика торговли Синтез""",7794276693,773268402,1067760976972,21940225,АО,"г. Москва, ул. Новая Басманная, д. 6, офис 794",Активен,2026-04-15
22,"ООО ""Деловой Модуль Драйв""",7767462349,774528049,1247714973570,88452686,ООО,"г. Москва, ул. Пресненская набережная, д. 190, офис 47",Активен,2026-03-12
23,"ООО ""Инженерный Импульс автоматизации""",7707233389,776069589,1227788315172,26593208,ООО,"г. Москва, ул. Пресненская набережная, д. 144, офис 226",Заблокирован,2026-01-25
24,"ООО ""Комплексный Модуль Перспектива""",7847909802,786533644,1107835733699,55702623,ООО,"г. Санкт-Петербург, ул. Лиговский проспект, д. 151, офис 238",Активен,2026-04-11
25,"ООО ""Инновационная Группа Синтез""",7764247690,770332099,1207752970650,76794566,ООО,"г. Москва, ул. Новая Басманная, д. 79, офис 182",На проверке,2026-04-12
26,"АО ""Точка данных Бета""",5462291072,545465635,1205474593915,66679070,АО,"г. Новосибирск, ул. Красный проспект, д. 5, офис 237",Активен,2026-04-10
27,"ООО ""Цифровая Практика экспорта Плюс""",7768875649,776094987,1067799004978,17332387,ООО,"г. Москва, ул. Профсоюзная, д. 151, офис 231",Архивный,2026-02-25
28,"АО ""Ресурс снабжения Классик""",6609193020,669997106,1046621949081,78248145,АО,"г. Екатеринбург, ул. Малышева, д. 49, офис 637",Заблокирован,2026-03-10
29,"ООО ""Альянс консалтинга Гамма""",7766332225,779478522,1127734414417,19044071,ООО,"г. Москва, ул. Покровка, д. 66, офис 452",Приостановлен,2026-03-24
30,"ООО ""Городской Партнер девелопмента""",6656540564,666783243,1066629138893,79316038,ООО,"г. Екатеринбург, ул. Белинского, д. 153, офис 446",Активен,2026-01-06
31,"ООО ""Решение строительства Плюс""",7758537919,777219179,1167703528307,68926016,ООО,"г. Москва, ул. Арбат, д. 70, офис 786",Заблокирован,2026-02-05
32,"АО ""Профиль обслуживания Партнер""",5267906414,521120046,1225298571086,32488342,АО,"г. Нижний Новгород, ул. Горького, д. 96, офис 147",Активен,2026-04-01
33,"ООО ""Торговый Альянс Инвест""",6395218369,639022163,1126341913140,06338175,ООО,"г. Самара, ул. Ленинградская, д. 177, офис 135",Активен,2026-03-06
34,"ООО ""Системы логистики Навигатор""",7762295847,777628427,1047761881373,48008297,ООО,"г. Москва, ул. Покровка, д. 178, офис 164",Активен,2026-03-10
35,"ПАО ""Современный Формат поставок Навигатор""",7788329408,775465596,1227781174195,91274574,ПАО,"г. Москва, ул. Новая Басманная, д. 165, офис 108",Заблокирован,2026-02-11
36,"ООО ""Промышленный Вектор обслуживания""",7844014195,788175564,1227849556514,68882057,ООО,"г. Санкт-Петербург, ул. Садовая, д. 13, офис 737",Активен,2026-04-21
37,"ООО ""Торговый Оператор Сигма""",7797526715,779637502,1107700850491,66275940,ООО,"г. Москва, ул. Ленинский проспект, д. 16, офис 240",Архивный,2026-05-04
38,"ООО ""Городская Автоматизация транспорта Логика""",7729746973,777991053,1207771728450,54685322,ООО,"г. Москва, ул. Мясницкая, д. 118, офис 584",Приостановлен,2026-04-29
39,"ООО ""Экспертное Снабжение данных Бета""",6664399509,664201545,1106626770834,35630268,ООО,"г. Екатеринбург, ул. Белинского, д. 48, офис 355",Заблокирован,2026-01-27
40,"ООО ""Цифровой Оператор Арсенал""",7791981844,772188494,1027706325546,34267687,ООО,"г. Москва, ул. Профсоюзная, д. 81, офис 720",Активен,2026-04-28
41,"АО ""Промышленный Комплекс Партнер""",7848480762,788060457,1127832135382,94068584,АО,"г. Санкт-Петербург, ул. Невский проспект, д. 162, офис 15",Архивный,2026-05-14
42,"ООО ""Кластер дистрибуции Капитал""",2307731421,230367448,1022346641198,36774265,ООО,"г. Краснодар, ул. Ставропольская, д. 120, офис 710",На проверке,2026-04-17
43,"ООО ""Комплексный Модуль интеграции Вега""",7758995678,778321609,1127794864061,50414224,ООО,"г. Москва, ул. Покровка, д. 105, офис 570",Заблокирован,2026-03-19
44,"ООО ""Инновационные Решения торговли""",7783020053,776865751,1247744329566,14784072,ООО,"г. Москва, ул. Мясницкая, д. 17, офис 628",На проверке,2026-01-05
45,"ООО ""Комплексный Фактор интеграции""",7762773561,776220188,1107734880807,29270414,ООО,"г. Москва, ул. Тверская, д. 173, офис 137",Активен,2026-03-22
46,"ООО ""Инновационные Технологии обслуживания Формула""",7736470177,773175495,1047736282287,53052404,ООО,"г. Москва, ул. Профсоюзная, д. 110, офис 532",Активен,2026-04-29
47,"ООО ""Современные Решения Синергия""",7746593918,778477176,1127758529761,87764929,ООО,"г. Москва, ул. Тверская, д. 170, офис 511",Активен,2026-03-14
48,"ООО ""Комплексная Платформа Орион""",5423229673,545225837,1225401918711,04271089,ООО,"г. Новосибирск, ул. Советская, д. 144, офис 536",Активен,2026-03-23
49,"ООО ""Региональный Партнер Дельта""",5281486080,523350516,1225213895707,30808214,ООО,"г. Нижний Новгород, ул. Горького, д. 38, офис 99",Активен,2026-03-26
50,"АО ""Современный Интегратор поставок""",2354344907,230452882,1222355884194,04346168,АО,"г. Краснодар, ул. Красная, д. 166, офис 58",Активен,2026-05-19
51,"ООО ""Кластер разработки Навигатор""",7777006784,778030103,1207740679532,08652547,ООО,"г. Москва, ул. Покровка, д. 181, офис 148",Активен,2026-04-25
52,"АО ""Региональный Комплекс Основа""",6122299785,616281145,1066168030471,25397761,АО,"г. Ростов-на-Дону, ул. Будённовский проспект, д. 183, офис 465",Активен,2026-04-07
53,"ООО ""Торговые Сервисы Формула""",7850611367,782660832,1067827216127,71424509,ООО,"г. Санкт-Петербург, ул. Невский проспект, д. 183, офис 790",Активен,2026-01-13
54,"ООО ""Деловой Интегратор маркетинга""",6616337226,668795603,1126623708313,49810802,ООО,"г. Екатеринбург, ул. 8 Марта, д. 48, офис 123",Активен,2026-03-14
55,"ООО ""Стратегический Центр Мастер""",7785049471,773967769,1167700986005,48862552,ООО,"г. Москва, ул. Новая Басманная, д. 4, офис 103",Активен,2026-04-26
56,"АО ""Точка маркетинга Драйв""",7827652502,781778811,1047823270535,62051420,АО,"г. Санкт-Петербург, ул. Московский проспект, д. 99, офис 405",Активен,2026-02-07
57,"АО ""Стратегический Формат инжиниринга""",7736140047,778347716,1107774213839,92788697,АО,"г. Москва, ул. Пресненская набережная, д. 20, офис 495",Активен,2026-05-12
58,"ООО ""Федеральная Линия Гамма""",7764053349,774761689,1127742276638,27584718,ООО,"г. Москва, ул. Мясницкая, д. 134, офис 777",Архивный,2026-04-06
59,"ООО ""Промышленный Импульс импорта""",7753020060,775993706,1127788385066,68970997,ООО,"г. Москва, ул. Мясницкая, д. 93, офис 402",Активен,2026-01-13
60,"ООО ""Вектор ритейла Актив""",7719867225,774739294,1167787132764,47803003,ООО,"г. Москва, ул. Профсоюзная, д. 59, офис 423",Активен,2026-02-13
61,"ООО ""Инновационный Комплекс Орион""",7719676185,775922298,1207745323206,39649199,ООО,"г. Москва, ул. Большая Дмитровка, д. 146, офис 424",Активен,2026-02-16
62,"ООО ""Современное Решение поставок""",6398158588,637294263,1226368179979,60853890,ООО,"г. Самара, ул. Молодогвардейская, д. 66, офис 468",Активен,2026-05-11
63,"ПАО ""Система обслуживания Запад""",7772008717,778268635,1247796271503,23293103,ПАО,"г. Москва, ул. Мясницкая, д. 41, офис 48",Активен,2026-04-01
64,"ООО ""Снабжение инжиниринга Дельта""",7724663568,777386289,1107781221648,92931071,ООО,"г. Москва, ул. Варшавское шоссе, д. 32, офис 709",Активен,2026-04-10
65,"ООО ""Промышленный Интегратор аналитики Навигатор""",7737398916,776476137,1207787082092,78427865,ООО,"г. Москва, ул. Тверская, д. 64, офис 324",Активен,2026-03-29
66,"ООО ""Торговый Кластер торговли""",7728052394,775821830,1167731217486,11386856,ООО,"г. Москва, ул. Большая Дмитровка, д. 133, офис 578",Заблокирован,2026-01-18
67,"АО ""Интегратор логистики Практика""",7713351696,771879381,1167719121868,35621757,АО,"г. Москва, ул. Арбат, д. 65, офис 605",Активен,2026-03-18
68,"ООО ""Деловой Формат разработки""",7744116927,778000154,1067752850697,00803827,ООО,"г. Москва, ул. Мясницкая, д. 69, офис 607",Заблокирован,2026-02-17
69,"АО ""Региональная Дистрибуция импорта""",6326247017,632070963,1206344678438,62447553,АО,"г. Самара, ул. Ленинградская, д. 9, офис 815",Активен,2026-01-09
70,"ООО ""Стратегические Решения импорта""",7709068937,771678843,1247760476073,70188105,ООО,"г. Москва, ул. Большая Дмитровка, д. 99, офис 532",Активен,2026-01-27
71,"ООО ""Федеральное Агентство энергетики""",7828437741,783585969,1107880320891,55855299,ООО,"г. Санкт-Петербург, ул. Лиговский проспект, д. 21, офис 522",Приостановлен,2026-03-28
72,"АО ""Деловой Модуль инжиниринга Синтез""",7818090809,786770334,1127835832811,16794862,АО,"г. Санкт-Петербург, ул. Лиговский проспект, д. 120, офис 370",Архивный,2026-04-29
73,"ООО ""Надежное Решение данных Норд""",2378871633,230479762,1042337367682,53852933,ООО,"г. Краснодар, ул. Красная, д. 101, офис 567",На проверке,2026-05-14
74,"АО ""Экспертное Агентство Город""",5470332304,547526031,1165495355125,71703221,АО,"г. Новосибирск, ул. Кирова, д. 188, офис 580",Активен,2026-05-17
75,"ООО ""Городское Производство Перспектива""",7728301654,772889697,1127799270445,41943129,ООО,"г. Москва, ул. Профсоюзная, д. 177, офис 532",В процессе ликвидации,2026-01-26
76,"ООО ""Ресурс дистрибуции Омега""",7789955031,770237589,1167722453444,37617254,ООО,"г. Москва, ул. Покровка, д. 63, офис 59",Приостановлен,2026-01-08
77,"ООО ""Вектор энергетики Глобал""",7717158196,770842853,1207759223243,41958481,ООО,"г. Москва, ул. Тверская, д. 166, офис 71",Активен,2026-01-13
78,"АО ""Экспертный Ресурс Бета""",7722948849,772182381,1047783319652,54172102,АО,"г. Москва, ул. Арбат, д. 25, офис 320",Активен,2026-04-06
79,"ПАО ""Автоматизация девелопмента Проф""",7768744000,777878634,1207739166772,78518666,ПАО,"г. Москва, ул. Покровка, д. 115, офис 775",Приостановлен,2026-01-09
80,"ООО ""Цифровой Партнер Орион""",7776821912,774795901,1167758343249,21144695,ООО,"г. Москва, ул. Арбат, д. 70, офис 469",На проверке,2026-03-22
81,"ООО ""Промышленный Модуль интеграции Синергия""",7736090014,771713361,1047796022850,83487938,ООО,"г. Москва, ул. Профсоюзная, д. 155, офис 253",Активен,2026-01-23
82,"ООО ""Партнер строительства Фокус""",7762227314,777761277,1047767805618,29907668,ООО,"г. Москва, ул. Новая Басманная, д. 162, офис 566",Активен,2026-04-21
83,"ООО ""Инженерный Профиль Логика""",7843853584,784310535,1107863632237,56679872,ООО,"г. Санкт-Петербург, ул. Садовая, д. 159, офис 285",Активен,2026-03-17
84,"ООО ""Дистрибуция поставок Основа""",7758763770,779391456,1047795178547,83704867,ООО,"г. Москва, ул. Покровка, д. 6, офис 795",Заблокирован,2026-04-02
85,"ООО ""Поставки маркетинга Практика""",7754310667,779171713,1107796268881,80626537,ООО,"г. Москва, ул. Покровка, д. 59, офис 285",Активен,2026-05-17
86,"АО ""Цифровой Профиль транспорта""",7739123487,775876776,1107773545568,43642793,АО,"г. Москва, ул. Покровка, д. 136, офис 33",Активен,2026-01-27
87,"ООО ""Деловые Технологии Партнер""",7881407414,785342243,1247875411975,80265240,ООО,"г. Санкт-Петербург, ул. Невский проспект, д. 92, офис 2",Активен,2026-04-18
88,"ООО ""Региональная Сфера маркетинга Проект""",7714808468,779255151,1247704908699,24304663,ООО,"г. Москва, ул. Профсоюзная, д. 57, офис 56",Заблокирован,2026-01-04
89,"АО ""Вектор логистики Оптима""",7773023428,770652929,1247719143755,35277387,АО,"г. Москва, ул. Большая Дмитровка, д. 190, офис 72",Приостановлен,2026-02-18
90,"ООО ""Инновационные Решения обслуживания Восток""",7725904817,770913354,1127772949809,50314157,ООО,"г. Москва, ул. Покровка, д. 132, офис 624",Активен,2026-03-02
91,"ООО ""Дистрибуция медицины Синергия""",7894910922,783326792,1247802917525,37021354,ООО,"г. Санкт-Петербург, ул. Петроградская, д. 98, офис 368",В процессе ликвидации,2026-03-11
92,"ООО ""Торговый Альянс маркетинга Бета""",7890788015,786262337,1027856737497,58894494,ООО,"г. Санкт-Петербург, ул. Московский проспект, д. 155, офис 10",Активен,2026-04-19
93,"ООО ""Формат интеграции Стандарт""",1683679639,163051200,1121630338543,40422364,ООО,"г. Казань, ул. Пушкина, д. 43, офис 769",Архивный,2026-03-30
94,"ООО ""Оператор обслуживания Сигма""",7862212636,785949199,1207872884397,37408021,ООО,"г. Санкт-Петербург, ул. Невский проспект, д. 146, офис 539",Активен,2026-05-08
95,"ООО ""Городские Сервисы интеграции""",7775166085,774696854,1167718465701,43564137,ООО,"г. Москва, ул. Покровка, д. 26, офис 589",Активен,2026-01-08
96,"ООО ""Комплексный Интегратор безопасности""",7707698085,775553186,1047775298275,37194258,ООО,"г. Москва, ул. Тверская, д. 174, офис 469",Активен,2026-03-27
97,"ООО ""Партнер автоматизации Перспектива""",7877401273,784030876,1027825240920,68036509,ООО,"г. Санкт-Петербург, ул. Петроградская, д. 88, офис 356",Приостановлен,2026-04-30
98,"ООО ""Системы строительства Эксперт""",7714634613,775669000,1207718075191,41198215,ООО,"г. Москва, ул. Мясницкая, д. 52, офис 332",Архивный,2026-01-09
99,"ПАО ""Комплексная Линия Формула""",7791807027,776933275,1127706376732,43310803,ПАО,"г. Москва, ул. Новая Басманная, д. 134, офис 764",Архивный,2026-04-11
100,"ООО ""Городские Сервисы Мастер""",7775764814,770839136,1067792760394,43431368,ООО,"г. Москва, ул. Тверская, д. 22, офис 246",Активен,2026-05-12
101,"АО ""Комплексный Интегратор дистрибуции Синтез""",7740175344,778339505,1067748137261,28285246,АО,"г. Москва, ул. Большая Дмитровка, д. 30, офис 337",Приостановлен,2026-02-23
102,"ООО ""Экспертные Технологии Гарант""",7708763031,778727112,1027793226285,53208615,ООО,"г. Москва, ул. Большая Дмитровка, д. 91, офис 374",В процессе ликвидации,2026-05-09
103,"АО ""Экспертный Импульс автоматизации""",6113704172,617746871,1106188298559,41445730,АО,"г. Ростов-на-Дону, ул. Пушкинская, д. 171, офис 643",На проверке,2026-01-22
104,"ООО ""Экспертный Ресурс Перспектива""",7784409399,773952178,1227786021143,45553740,ООО,"г. Москва, ул. Ленинский проспект, д. 174, офис 661",Активен,2026-01-12
105,"ООО ""Бюро импорта Запад""",7756681370,775871200,1107780821302,75943388,ООО,"г. Москва, ул. Мясницкая, д. 88, офис 702",На проверке,2026-03-24
106,"ООО ""Платформа логистики Альфа""",7708061517,779317075,1127702523478,92996792,ООО,"г. Москва, ул. Большая Дмитровка, д. 53, офис 111",Активен,2026-04-09
107,"ООО ""Сервисы обслуживания Актив""",6636565422,660519795,1166614358664,48125201,ООО,"г. Екатеринбург, ул. Ленина, д. 127, офис 733",Активен,2026-02-06
108,"ООО ""Комплекс медицины Практика""",7736528945,774931998,1047728111319,94395386,ООО,"г. Москва, ул. Ленинский проспект, д. 64, офис 793",Активен,2026-01-23
109,"ООО ""Инновационный Модуль аналитики""",7768641374,778414225,1207751575774,03095812,ООО,"г. Москва, ул. Новая Басманная, д. 57, офис 729",Заблокирован,2026-05-16
110,"ООО ""Стратегический Формат Город""",7730001196,775517605,1027720132990,66913228,ООО,"г. Москва, ул. Профсоюзная, д. 181, офис 114",Приостановлен,2026-02-24
111,"АО ""Стратегическая Группа Синтез""",7710258281,779910808,1107775631774,99504425,АО,"г. Москва, ул. Мясницкая, д. 89, офис 817",На проверке,2026-04-26
112,"ООО ""Современная Сфера Фокус""",7726546774,774742130,1227781396499,35026658,ООО,"г. Москва, ул. Тверская, д. 107, офис 811",Активен,2026-04-21
